asin,image_type,image_index,image_url
B0CTK9768L,high_resolution,0,https://m.media-amazon.com/images/I/61vmzvUauCL._AC_SL1500_.jpg
B0CTK9768L,high_resolution,1,https://m.media-amazon.com/images/I/61VLoocUNML._AC_SL1500_.jpg
B0CTK9768L,high_resolution,2,https://m.media-amazon.com/images/I/71V+n109MeL._AC_SL1500_.jpg
B0CTK9768L,high_resolution,3,https://m.media-amazon.com/images/I/71awqNIJgZL._AC_SL1500_.jpg
B0CTK9768L,high_resolution,4,https://m.media-amazon.com/images/I/61MhzSB6gPL._AC_SL1500_.jpg
B0CTK9768L,high_resolution,5,https://m.media-amazon.com/images/I/71kRZRTQ8kL._AC_SL1500_.jpg
B0CTK9768L,high_resolution,6,https://m.media-amazon.com/images/I/816Zmu8iNpL._AC_SL1500_.jpg
B0CTK9768L,high_resolution,7,https://m.media-amazon.com/images/I/61IgS2BUFyL._AC_SL1500_.jpg
B0CTK9768L,a_plus,0,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/f7c93ac2-9fc1-4637-92c2-240e300c826e.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0CTK9768L,a_plus,1,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/ac73e552-3423-45a2-ba66-5d621f5fa18d.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0CTK9768L,a_plus,2,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/d2ab5830-7801-4b40-9208-5ba30940980a.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0CTK9768L,a_plus,3,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/125bc05a-73d7-46bb-88ff-94d52d635e26.__CR0,0,800,600_PT0_SX800_V1___.jpg"
B0CTK9768L,a_plus,4,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/342008da-3c6a-42ef-beaa-656fdc08ec8a.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0CTK9768L,a_plus,5,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/d8c8a283-aa96-46da-ab7f-c60530fc311f.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0CTK9768L,a_plus,6,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/baa7a4d6-f330-47c7-bac5-f7c8f661aeab.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
