asin,bullet_score,attributes_score,important_score,aplus_score,video_score,image_score,brand_bonus,trust_bonus,listing_score,listing_rank
B0DK94BK76,65.78,96.45,100.0,84.0,100.0,48.47,10,4.5,88.86,1.0
B0FFMD5NPF,67.05,97.54,100.0,69.0,100.0,50.75,10,4.0,88.09,2.0
B0DM1FW59V,77.79,94.76,100.0,69.0,70.0,42.89,10,4.5,87.65,3.0
B0F9F7BW9W,72.13,96.71,100.0,69.0,100.0,50.53,10,2.0,87.35,4.0
B0D45LGL6T,71.38,99.9,100.0,57.0,100.0,52.58,10,2.0,87.23,5.0
B07SF5LP9K,64.18,96.33,100.0,69.0,70.0,44.87,10,7.0,86.95,6.0
B079DT9THL,72.83,97.0,100.0,57.0,70.0,38.24,10,7.0,86.86,7.0
B0F3CMPQFS,69.42,90.82,100.0,69.0,90.0,48.25,10,4.5,86.49,8.0
B07DGPWLX2,64.71,93.59,100.0,69.0,90.0,49.0,10,5.0,86.46,9.0
B0DK92XF9Q,69.11,91.19,100.0,69.0,100.0,47.78,10,4.0,86.38,10.0
B0F3CPWB32,69.42,89.12,100.0,69.0,90.0,47.71,10,4.5,85.93,11.0
B09T3NL1NR,65.93,97.3,100.0,57.0,70.0,41.76,10,7.0,85.74,12.0
B0FRFNKNB1,70.34,100.0,100.0,69.0,70.0,40.75,10,4.0,85.69,13.0
B094CCD82B,73.3,90.16,100.0,69.0,90.0,42.95,10,3.5,85.17,14.0
B089K32SDQ,63.85,99.02,100.0,57.0,70.0,39.68,10,7.0,85.03,15.0
B08GYPL6X9,64.72,94.76,100.0,57.0,70.0,42.3,10,7.0,84.88,16.0
B07DGSCJPF,64.51,88.95,100.0,69.0,90.0,46.86,10,5.0,84.71,17.0
B0811RBBY7,64.18,87.36,100.0,69.0,70.0,44.52,10,7.0,84.62,18.0
B0D962W8TP,70.56,91.53,100.0,57.0,100.0,41.13,10,4.5,84.53,19.0
B01KO2I7XU,69.5,87.32,100.0,69.0,90.0,41.34,10,5.0,84.41,20.0
B0CFL7Q3G4,72.74,88.76,100.0,69.0,70.0,45.49,10,3.5,84.28,21.0
B0DXKPFSVL,69.02,87.16,100.0,69.0,70.0,48.65,10,4.0,84.06,22.0
B0G127C2LX,69.77,90.1,100.0,99.0,90.0,44.13,10,0.0,83.89,23.0
B0C8N681D2,64.61,85.13,100.0,69.0,100.0,43.15,10,5.5,83.85,24.0
B0DSBPS423,64.45,93.26,100.0,69.0,70.0,44.8,10,4.5,83.75,25.0
B096M54QC4,66.21,99.36,100.0,69.0,70.0,36.03,10,4.5,83.61,26.0
B07KB47FLJ,71.06,100.0,100.0,69.0,0.0,32.27,10,7.0,83.29,27.0
