ASIN,Avg_Stars,Total_Reviews_Count,Avg_Sentiment_Score,Positive%,Neutral%,Negative%,AI_Pos_Keywords,AI_Neg_Keywords,Conversion_Score
B0CTK9768L,4.31,13,0.508,66.7,25.0,8.3,65,0,75.63
B0DM1FW59V,4.68,13,0.581,76.9,7.7,15.4,151,0,80.99
B01KO2I7XU,4.29,13,0.333,53.8,23.1,23.1,1744,186,69.36
B0F1Y4F3PS,4.17,13,0.251,53.8,15.4,30.8,97,0,68.37
B0FVLQMK31,4.34,10,0.646,80.0,10.0,10.0,148,0,80.2
B07SF5LP9K,4.54,13,0.476,69.2,0.0,30.8,1898,75,76.67
B0H4RB849Q,4.0,3,-0.012,33.3,33.3,33.3,0,0,52.49
B0FT2JLPD8,4.42,13,0.405,69.2,15.4,15.4,53,0,75.27
B07DGSCJPF,4.36,13,0.102,46.2,7.7,46.2,581,0,65.75
B0DK94BK76,4.51,13,0.365,53.8,23.1,23.1,0,0,67.13
B0F3CPWB32,4.61,13,0.542,69.2,15.4,15.4,225,0,78.45
B0D45LGL6T,4.37,13,0.971,100.0,0.0,0.0,0,0,84.6
B09JW54WNY,4.64,13,0.514,69.2,15.4,15.4,166,0,78.21
B0G127C2LX,4.09,8,0.357,62.5,12.5,25.0,25,0,70.57
B0FVLR1DZR,4.34,10,0.646,80.0,10.0,10.0,148,0,80.2
B089K32SDQ,4.51,13,0.679,84.6,0.0,15.4,683,33,82.52
B0F3CMPQFS,4.61,13,0.542,69.2,15.4,15.4,225,0,78.45
B0GTLRJPGT,4.84,7,0.175,57.1,0.0,42.9,0,0,66.1
B07MDJDK23,4.47,13,0.43,61.5,23.1,15.4,1247,87,73.75
B0CP5DZ4CY,4.12,13,-0.136,38.5,7.7,53.8,28,8,56.97
B0FXWZGZZK,4.73,8,0.962,100.0,0.0,0.0,37,0,91.0
B0F9F7BW9W,4.41,13,0.525,69.2,15.4,15.4,83,0,77.01
B0F1Y484RH,4.17,13,0.251,53.8,15.4,30.8,97,0,68.37
B0GX5HS9WF,5.0,4,0.481,75.0,0.0,25.0,0,0,74.55
B0FK57MTS3,4.43,8,0.94,100.0,0.0,0.0,29,0,88.86
B0DK92XF9Q,4.83,13,0.485,61.5,23.1,15.4,0,0,72.38
B0GY872VLJ,5.0,4,0.992,100.0,0.0,0.0,0,0,87.21
B0FFT3FCZC,4.38,13,0.223,53.8,7.7,38.5,23,0,69.22
B0BFPZFH1P,4.38,13,0.413,61.5,23.1,15.4,163,0,73.6
B0G1YMHDTH,4.1,13,0.358,61.5,15.4,23.1,31,0,71.09
B0FY2TWL3B,4.59,8,0.976,100.0,0.0,0.0,65,0,90.36
B0DSBPS423,4.49,13,0.057,38.5,23.1,38.5,49,0,64.31
B0CNXY7Z8J,4.44,8,0.945,100.0,0.0,0.0,375,0,89.0
B0FSQ4RG83,4.54,13,0.559,66.7,25.0,8.3,57,0,77.78
B0FQC7RR3H,4.39,13,0.215,53.8,7.7,38.5,145,0,69.16
B09T3NL1NR,4.49,13,0.352,53.8,23.1,23.1,366,0,71.81
B0FFMD5NPF,4.69,13,0.436,61.5,15.4,23.1,0,0,70.8
