asin,title,title_score,thumbnail_score,price_score,trust_score,position_score,search_score,search_rank
B0CTK9768L,"EUGAD Esszimmerstühle 4er Set, für Esszimmer Küche Wohnzimmer, Küchenstühle gepolstert mit Rückenlehne Samtbezug, mit Metallbeinen, 150 kg belastbar, Dunkelgrau",61.15,70.56,83.0,71.31,27.91,65.96,30.0
B0DM1FW59V,Armlehnenstuhl Esszimmerstuhl 4er Set Beige Holzbeine Polsterstuhl mit Armlehne Stühle Esszimmer Küchenstuhl Wohnzimmerstuhl aus Polyester,54.82,72.26,26.0,76.47,45.51,59.13,65.0
B01KO2I7XU,EGGREE Esszimmerstühle 4er Set Weiß Schalenstuhl für Esstisch Küche Wohnung,41.3,79.12,94.0,83.76,41.7,69.08,16.0
B0F1Y4F3PS,"EUGAD Esszimmerstühle drehbar 4er Set, für Esszimmer Küche Wohnzimmer, Küchenstühle gepolstert mit Rückenlehne Samtbezug, mit Metallbeinen, 150 kg belastbar, Dunkelgrau",60.8,90.54,66.0,67.88,51.39,70.98,10.0
B0FVLQMK31,"COLAMY Küchenstuhl Esszimmerstühle 4er Set, Moderne Polsterstuhl Essstühle mit Fester Rückenlehne, Stoff Esszimmerstühl mit Holzbein für Esszimmer, Küche, Restaurant, Beige",62.11,91.93,14.0,68.82,91.02,68.07,17.0
B07SF5LP9K,"WOLTU Esszimmerstühle 2er Set, für Wohnzimmer Küche Esszimmer, Küchenstühle gepolstert mit Rückenlehne, Sitzfläche aus Samt, mit Metallbeinen, bis 150 kg belastbar,Dunkelgrau",57.04,85.69,92.0,84.39,29.12,73.56,4.0
B0H4RB849Q,"VASAGLE Esszimmerstuhl 6er Set, Küchenstuhl, Polsterstuhl mit Massivholzbeinen, ergonomische Rückenlehne, Aussparung als Griff, Mid-Century-Modern-Stil, Küche, salbeigrün KDC668C101-3J",59.17,65.39,7.0,51.82,27.69,48.59,97.0
B0FT2JLPD8,"VASAGLE Esszimmerstühle Samt, Küchenstühle bis 120 kg belastbar, Sessel mit verstellbaren Füßen, modern, gepolstert, für Wohnzimmer, 4er Set, tintenschwarz KDC080BH01",60.78,73.03,78.0,71.71,30.01,66.15,28.0
B07DGSCJPF,"Yaheetech Esszimmerstühle 2er Set Esszimmerstuhl Schwingstuhl Freischwinger, 135 kg belastbar schwarz Kunstleder",55.6,86.81,70.0,77.49,72.13,73.15,5.0
B0DK94BK76,"Esszimmerstühle Drehbar 6er Set mit Armlehne, 360° Drehstuhl, Polsterstuhl Leinen, Modern Küchenstuhl mit Metallbeine und Rückenlehne für Esszimmer, Küche,Büro, Beige",57.86,84.38,10.0,71.07,62.13,61.71,46.0
B0F3CPWB32,Drehstuhl Esszimmer 6er Set Schwarz mit Armlehne Polsterstuhl Samt Esszimmerstühle drehbar Küchenstuhl mit Metallbeine für Wohnzimmer Esszimmer,56.76,96.33,11.0,75.01,55.81,65.32,34.0
B0D45LGL6T,"Hawthyhome Esszimmerstühle 2er Set, Küchenstuhl, Stuhl Esszimmer Wohnzimmer, ergonomischer Sessel, Armlehnstuhl, Polsterstuhl, Wasserdichtes Material,Metallbeine, Schwarz",73.22,98.87,89.0,64.84,29.4,77.22,1.0
B09JW54WNY,"VASAGLE Esszimmerstühle, Küchenstühle, 2er Set, Metallrahmen, für Esszimmer, Wohnzimmer, Küche, vintagebraun-tintenschwarz LDC092B01V1",61.22,61.78,97.0,79.7,28.85,67.21,21.0
B0G127C2LX,"COLAMY Esszimmerstühle 4er Set, Polsternder Stühle Esszimmer mit Rückenlehne, Moderne Küchenstühle Gepolstert, Stoff Dining Chairs mit Back und Holzbeinen für Esszimmer, Küche, Restaurant, Beige",61.57,64.99,13.0,60.52,29.7,51.91,92.0
B0FVLR1DZR,"COLAMY Küchenstuhl Esszimmerstühle 2er Set, Moderne Polsterstuhl Essstühle mit Fester Rückenlehne, Stoff Esszimmerstühl mit Holzbein für Esszimmer, Küche, Restaurant, Beige",62.37,96.17,63.0,68.82,43.43,72.0,7.0
